Month	random	Date	lowci	highci	med	Lower CI	Median	Number of Records	Upper CI	Year 	Year Original
11	0.875613724	11/1/1878	cooler	cooler	cooler	-0.15	-0.203	1	-0.263	1878	1878/11
12	0.504814639	12/1/1878	cooler	cooler	cooler	-0.296	-0.36	1	-0.427	1878	1878/12
1	0.979768893	1/1/1879	cooler	cooler	cooler	-0.13	-0.197	1	-0.273	1879	1879/01
2	0.965571749	2/1/1879	cooler	cooler	cooler	-0.09	-0.154	1	-0.226	1879	1879/02
3	0.382657796	3/1/1879	cooler	cooler	cooler	-0.045	-0.097	1	-0.176	1879	1879/03
4	0.61681952	4/1/1879	cooler	cooler	cooler	-0.155	-0.215	1	-0.274	1879	1879/04
5	0.169799976	5/1/1879	cooler	cooler	cooler	-0.16	-0.211	1	-0.29	1879	1879/05
6	0.089691434	6/1/1879	cooler	cooler	cooler	-0.217	-0.27	1	-0.335	1879	1879/06
7	0.347092058	7/1/1879	cooler	cooler	cooler	-0.175	-0.233	1	-0.304	1879	1879/07
8	0.33761843	8/1/1879	cooler	cooler	cooler	-0.113	-0.169	1	-0.222	1879	1879/08
9	0.690301142	9/1/1879	cooler	cooler	cooler	-0.16	-0.213	1	-0.276	1879	1879/09
10	0.915706819	10/1/1879	cooler	cooler	cooler	-0.061	-0.121	1	-0.184	1879	1879/10
11	0.303044512	11/1/1879	cooler	cooler	cooler	-0.329	-0.386	1	-0.445	1879	1879/11
12	0.591647836	12/1/1879	cooler	cooler	cooler	-0.454	-0.517	1	-0.588	1879	1879/12
1	0.41004775	1/1/1880	warmer	cooler	cooler	0.009	-0.064	1	-0.137	1880	1880/01
